0,0,15332,30668,-1,-1,-1,-1,-1,-1
1,7.6544,9624,19252,-1,-1,-1,-1,-1,-1
2,1.82381,12218,72936,-1,-1,-1,-1,-1,-1
3,8.91941,12218,72936,-1,-1,-1,-1,-1,-1
4,1.35073,20207,83042,-1,-1,-1,-1,-1,-1
5,8.05998,34446,182275,-1,-1,-1,-1,-1,-1
6,0.143723,34446,182275,0,0.298054,3.14159,2.44223,1e+50,2.74311e+45
8,6.87602,10904,65854,4.10383e-06,0.447007,3.14159,2.18816,21128.2,11.86
7,0.228091,21735,120667,4.10383e-06,0.526002,3.14159,2.0832,21128.2,9.17083
8,2.49603,13220,78183,4.10383e-06,0.489801,3.14159,2.13494,21128.2,10.3892
9,1.30319,13220,73142,6.90707e-06,0.523327,3.14158,2.07589,9406.42,8.1288
10,1.31456,13220,73142,0.00146147,0.53643,3.13947,2.08838,249.078,7.19095
7,0.142731,17587,93131,0.00146147,0.576665,3.13947,2.0418,249.078,6.58173
8,2.49774,13336,73666,0.00236089,0.550793,3.13597,2.07355,180.004,6.93798
9,1.01284,13336,73283,0.00236089,0.557883,3.13597,2.05698,180.004,6.7467
10,1.22516,13336,73283,0.00236089,0.568459,3.13597,2.05289,180.004,6.56496
7,0.0823189,15960,84414,0.00236089,0.590624,3.13597,2.02633,180.004,6.26143
8,1.39983,13347,73268,0.00236089,0.570935,3.13597,2.04965,180.004,6.53114
9,0.581076,13347,73144,0.00236089,0.574053,3.13597,2.04155,180.004,6.45941
10,0.890358,13347,73144,0.00236089,0.580574,3.13597,2.03784,180.004,6.37983
7,0.070724,15283,80934,0.00236089,0.59657,3.13597,2.01852,180.004,6.16792
8,1.32538,13351,73164,0.00236089,0.580849,3.13597,2.03792,180.004,6.3646
9,0.548724,13351,73129,0.00236089,0.582163,3.13597,2.03412,180.004,6.3309
10,0.782647,13351,73129,0.00236089,0.586183,3.13597,2.03118,180.004,6.28764
11,0.0517639,-1,-1,-1,-1,-1,-1,-1,-1
7,0.193842,24829,132091,0.00236089,0.615054,3.13597,1.98695,180.004,5.75793
8,2.66888,16576,91971,0.00236089,0.614929,3.13597,1.99729,180.004,5.6776
9,0.983447,16576,92026,0.00887619,0.624239,3.11392,1.97381,75.2711,5.48653
10,0.978218,16576,92026,0.00887619,0.644297,3.11392,1.95717,75.2711,5.31305
7,0.111401,20281,108789,0.00887619,0.657183,3.11392,1.9425,75.2711,5.15945
8,1.48087,16559,91991,0.0252839,0.644018,3.08822,1.95704,60.0523,5.304
9,1.03769,16559,92038,0.0252839,0.646827,3.08822,1.94884,60.0523,5.24117
10,0.936992,16559,92038,0.0252839,0.656391,3.08822,1.93907,60.0523,5.16349
7,0.0943129,19266,103755,0.0252839,0.665318,3.08822,1.9294,60.0523,5.06109
8,1.70413,16571,92144,0.0252839,0.656396,3.08332,1.93857,60.0523,5.15696
9,0.832138,16571,92156,0.0136612,0.657732,3.08332,1.93462,57.5424,5.12966
10,0.892331,16571,92156,0.0160636,0.66269,3.08332,1.9294,57.5424,5.09117
7,0.0916778,18688,100921,0.0160636,0.669298,3.08332,1.92186,57.5424,5.01417
8,1.36957,16560,92102,0.0160636,0.662219,3.08332,1.92974,57.5424,5.08999
9,0.792092,16560,92110,0.0160636,0.663106,3.08332,1.92736,57.5424,5.07405
10,1.35942,16560,92110,0.0168301,0.666339,3.08332,1.92388,57.5424,5.05061
11,0.0818285,-1,-1,-1,-1,-1,-1,-1,-1
7,0.30064,34856,186662,0.0168301,0.66092,3.09806,1.92834,57.5424,4.97479
8,3.41221,21719,122052,0.0289346,0.681566,3.08332,1.90758,40.9575,4.68986
9,1.366,21719,122049,0.0289346,0.690849,3.08332,1.88527,28.0234,4.56216
10,1.60514,21719,122049,0.0289346,0.717458,3.08332,1.85775,28.0234,4.38546
7,0.154739,27084,146803,0.0289346,0.718087,3.08332,1.85891,28.0234,4.38499
8,1.95324,21600,121406,0.0289346,0.716582,3.08332,1.85758,28.0234,4.38362
9,1.17787,21600,121462,0.0310866,0.719426,3.08332,1.84995,28.0234,4.34327
10,1.71176,21600,121462,0.0310866,0.731427,3.08332,1.83701,28.0234,4.27079
7,0.143633,25314,137920,0.0310866,0.730595,3.08332,1.83952,28.0234,4.27924
8,1.92356,21516,120953,0.0310866,0.729421,3.08332,1.83921,28.0234,4.28033
9,1.74203,21516,121000,0.0310866,0.730463,3.08332,1.83622,28.0234,4.26561
10,1.08724,21516,121000,0.0310866,0.736815,3.08332,1.82885,28.0234,4.22787
11,0.0937147,-1,-1,-1,-1,-1,-1,-1,-1
7,0.662304,58982,317086,0.0310866,0.706518,3.07809,1.87708,32.7802,4.47409
8,5.2983,33814,190812,0.0364063,0.734544,3.07691,1.8391,26.1227,4.14454
9,2.14747,33814,191119,0.0580423,0.739435,3.02351,1.82606,23.1517,4.08428
10,1.88885,33814,191119,0.0616591,0.776895,3.0414,1.78718,23.1517,3.89538
7,0.3244,45876,248698,0.0616591,0.764657,3.0414,1.80473,23.1517,4.00595
8,3.8868,33683,190569,0.0646378,0.774201,3.01744,1.78775,23.1517,3.90182
9,2.13517,33683,190703,0.0646378,0.775209,3.01744,1.78399,20.1264,3.88791
10,2.35531,33683,190703,0.0646378,0.792162,3.01744,1.76492,20.1264,3.81049
7,0.536601,41884,228756,0.0646378,0.780784,3.01744,1.78028,20.1264,3.90144
8,3.61789,33533,189884,0.0646378,0.789919,3.01744,1.76725,20.1264,3.82049
9,2.22122,33533,189972,0.0646378,0.790287,3.01744,1.76553,17.9392,3.81393
10,1.79928,33533,189972,0.0659572,0.799047,3.01744,1.7545,17.9392,3.77372
7,0.251131,40091,219953,0.0659572,0.78854,3.01744,1.76923,17.9392,3.85283
8,3.36424,33359,189041,0.0659572,0.797206,3.01744,1.75642,17.9392,3.78234
9,2.46894,33359,189140,0.0659572,0.797153,3.01744,1.75604,17.9392,3.78
10,1.54769,33359,189140,0.0659572,0.802371,3.01744,1.74932,17.9392,3.75636
11,0.151705,-1,-1,-1,-1,-1,-1,-1,-1
7,0.561177,58465,317913,0.0659572,0.758023,3.03251,1.80855,20.7154,4.09122
8,7.01775,40880,230686,0.081499,0.785104,2.95145,1.77369,16.8005,3.84303
9,2.52005,40880,231053,0.081499,0.785724,2.88995,1.77061,16.8005,3.82798
10,1.86927,40880,231053,0.089172,0.80544,2.93756,1.74959,14.8558,3.73124
7,0.31132,51306,280765,0.089172,0.789624,2.95945,1.7697,14.8558,3.85365
8,4.92102,40798,230830,0.089172,0.802592,2.91015,1.75211,14.8558,3.74298
9,3.46985,40798,230982,0.089172,0.802641,2.86124,1.75109,14.8558,3.73917
10,2.05974,40798,230982,0.0964694,0.812014,2.86124,1.73987,14.3752,3.69686
7,0.352734,48728,267992,0.0964694,0.798358,2.87665,1.75733,14.3752,3.79645
8,4.32568,40681,230399,0.0964694,0.810107,2.86124,1.74232,14.3752,3.70683
9,3.67598,40681,230454,0.0964694,0.810174,2.86124,1.74167,14.3752,3.70494
10,2.27414,40681,230454,0.0979222,0.81573,2.86124,1.73475,14.2955,3.68044
11,0.0958421,-1,-1,-1,-1,-1,-1,-1,-1
7,0.28694,43839,245254,0.0979222,0.807954,2.95536,1.74421,14.984,3.73584
8,6.60592,40859,231440,0.123542,0.812852,2.92387,1.73844,13.0529,3.69529
9,3.5231,40859,231526,0.123542,0.812805,2.92387,1.73816,13.0529,3.69363
10,1.83063,40859,231526,0.128564,0.816204,2.8269,1.73406,10.9571,3.67633
7,0.205833,42712,239242,0.128564,0.813041,2.82002,1.73785,13.544,3.69986
8,6.02003,40751,230939,0.128564,0.815791,2.8269,1.7345,10.9571,3.67848
9,2.74471,40751,230973,0.128564,0.815734,2.8269,1.73442,10.9571,3.67814
10,1.92849,40751,230973,0.124694,0.81721,2.83079,1.7326,10.7176,3.67111
7,0.365633,42336,237342,0.124694,0.814571,2.81719,1.73567,12.465,3.69017
8,5.50873,40678,230584,0.124694,0.816941,2.83079,1.73312,10.7176,3.67301
9,2.63616,40678,230591,0.124694,0.816969,2.83079,1.73303,10.7176,3.67262
10,1.55245,40678,230591,0.124694,0.81783,2.83079,1.73192,10.7176,3.66866
11,0.084984,-1,-1,-1,-1,-1,-1,-1,-1
7,0.188045,41538,233437,0.124694,0.816924,2.99399,1.73292,14.3481,3.67527
8,6.05168,40618,230261,0.178793,0.81767,2.78528,1.73219,8.8418,3.66958
9,2.32236,40618,230267,0.178793,0.817647,2.78528,1.73216,8.8418,3.66954
10,1.50956,40618,230267,0.178851,0.818004,2.78528,1.73174,8.03635,3.66782
8,5.48441,40565,229994,0.178851,0.818019,2.78528,1.73169,8.03635,3.6677
12,1.36973,25008,106861,0.187478,0.818745,2.77233,1.72957,8.03635,3.66184
13,-1,0,-1,-1,-1,-1,-1,-1,-1
